task,category
Do the pcb assembly practice,DEX
Do the piano hand coordination drill,DEX
Do the portrait lighting practice,DEX
Do the pottery wheel practice,DEX
Do the puncture repair practice,DEX
Do the rigging practice in blender,DEX
Do the roller skating practice,DEX
Do the salsa turn practice,DEX
Do the slackline balance practice,DEX
Do the snooker cue practice,DEX
Do the soldering practice,DEX
Do the still life sketch,DEX
Do the tabla taal practice,DEX
Do the tadka timing practice,DEX
Do the tambourine rhythm practice,DEX
Do the tennis serve practice,DEX
Do the three point shooting drill,DEX
Do the touch typing drill,DEX
Do the veena practice today,DEX
Do the vim motions practice,DEX
Do the watch repair practice,DEX
Do the wicket keeping drill,DEX
Do the wrestling technique drill,DEX
Do the yoyo trick practice,DEX
Do the zumba routine practice,DEX
Do vocal warm up exercises,DEX
Learn the new dance step,DEX
Learn the new song on guitar,DEX
Play harmonium scales today,DEX
Play the flute scale practice,DEX
Practice badminton smash technique,DEX
Practice ballet barre exercises,DEX
Practice bhangra moves for function,DEX
Practice bharatanatyam adavus,DEX
Practice bowling yorkers today,DEX
Practice cake icing smoothly,DEX
Practice calligraphy strokes daily,DEX
Practice carrom striker aim,DEX
Practice catching in the slips,DEX
Practice charcoal shading,DEX
Practice clay hand building,DEX
Practice coin sleight of hand,DEX
Practice colour grading today,DEX
Practice cricket batting in nets,DEX
Practice cursive writing today,DEX
Practice digital painting in procreate,DEX
Practice drawing hands repeatedly,DEX
Practice flipping the pancake,DEX
Practice football free kicks,DEX
Practice guitar chords for an hour,DEX
Practice hip hop isolation moves,DEX
Practice hockey stick handling,DEX
Practice inking with the pen,DEX
Practice juggling three balls,DEX
Practice kalaripayattu forms,DEX
Practice keyboard with metronome,DEX
Practice knife skills in kitchen,DEX
Practice knitting the purl stitch,DEX
Practice madhubani painting,DEX
Practice oil painting layers,DEX
Practice parallel parking today,DEX
Practice pattern cutting today,DEX
Practice penalty shots today,DEX
Practice piano scales slowly,DEX
Practice plating the dish nicely,DEX
Practice putting on the green,DEX
Practice reverse parking properly,DEX
Practice riding without hands,DEX
Practice rolling round rotis,DEX
Practice rubiks cube speed solving,DEX
Practice sewing a straight seam,DEX
Practice shading techniques,DEX
Practice shooting at the range,DEX
Practice singing sargam daily,DEX
Practice sitar alankar daily,DEX
Practice skateboard ollie,DEX
Practice sketching faces today,DEX
Practice stick fighting technique,DEX
Practice tabla for 20 min,DEX
Practice the 3d modelling topology,DEX
Practice the accordion bellows control,DEX
Practice the animation keyframes,DEX
Practice the arabic calligraphy,DEX
Practice the archery release,DEX
Practice the balloon twisting,DEX
Practice the banjo roll pattern,DEX
Practice the barre chord transition,DEX
Practice the bead work,DEX
Practice the beard trimming,DEX
Practice the bicycle gear tuning,DEX
Practice the bonsai shaping,DEX
Practice the bouldering technique,DEX
Practice the bowling release,DEX
Practice the braille reading,DEX
Practice the cajon patterns,DEX
Practice the camera manual mode,DEX
Practice the card counting drill,DEX
Practice the cello vibrato,DEX
Practice the cocktail shake,DEX
Practice the composition rule,DEX
Practice the copperplate letters,DEX
Practice the crimping technique,DEX
Practice the dance choreography,DEX
Practice the dholak beats,DEX
Practice the difficult taan,DEX
Practice the dovetail joint,DEX
Practice the drilling straight holes,DEX
Practice the drop shot repeatedly,DEX
Practice the drum fill timing,DEX
Practice the drum rudiments,DEX
Practice the embroidery satin stitch,DEX
Practice the engine oil change,DEX
Practice the first aid bandaging,DEX
Practice the fishing cast,DEX
Practice the flip turn,DEX
Practice the gardening pruning,DEX
Practice the gimbal movement,DEX
Practice the handstand against wall,DEX
Practice the hula hoop control,DEX
Practice the ice skating turns,DEX
Practice the ikebana form,DEX
Practice the jab cross combination,DEX
Practice the judo throw technique,DEX
Practice the julienne cut,DEX
Practice the karate kata,DEX
Practice the keyboard shortcuts,DEX
Practice the kite flying control,DEX
Practice the knot tying,DEX
Practice the latte art pour,DEX
Practice the layup technique,DEX
Practice the lock picking,DEX
Practice the long exposure shot,DEX
Practice the makeup blending,DEX
Practice the mandala pattern,DEX
Practice the massage technique,DEX
Practice the mental maths speed,DEX
Practice the metal filing work,DEX
Practice the mouse free workflow,DEX
Practice the mouth organ bends,DEX
Practice the mridangam strokes,DEX
Practice the nadaswaram fingering,DEX
Practice the nail art design,DEX
Practice the number row typing,DEX
Practice the painting roller technique,DEX
Practice the paper folding pattern,DEX
Practice the pen tool in illustrator,DEX
Practice the phone screen replacement,DEX
Practice the ping pong spin serve,DEX
Practice the pipetting accuracy,DEX
Practice the plastering technique,DEX
Practice the raag alaap,DEX
Practice the rangoli design,DEX
Practice the rowing stroke,DEX
Practice the sailing rope work,DEX
Practice the santoor mallet control,DEX
Practice the sign language signs,DEX
Practice the skipping rope tricks,DEX
Practice the soldering iron control,DEX
Practice the sound editing,DEX
Practice the speed reading technique,DEX
Practice the street photography,DEX
Practice the surfing pop up,DEX
Practice the suturing on pad,DEX
Practice the swimming stroke technique,DEX
Practice the texture painting,DEX
Practice the theremin pitch control,DEX
Practice the titration technique,DEX
Practice the topspin forehand,DEX
Practice the trumpet lip slurs,DEX
Practice the video cut timing,DEX
Practice the welding bead,DEX
Practice the whistling tune,DEX
Practice the wok tossing,DEX
Practice the yoga headstand balance,DEX
Practice tying the tie knot,DEX
Practice typing speed for 15 min,DEX
Practice violin bowing technique,DEX
Practice volleyball serving,DEX
Practice watercolour wash technique,DEX
Practice wood carving today,DEX
Record my singing and listen back,DEX
Work on basketball free throws,DEX
Work on boxing footwork drills,DEX
Work on breath control while singing,DEX
Work on my table tennis serve,DEX
Work on reducing typing errors,DEX
Work on the acupressure points,DEX
Work on the backhand technique,DEX
Work on the breathing rhythm while swimming,DEX
Work on the brush control,DEX
Work on the brush lettering,DEX
Work on the cable management,DEX
Work on the card shuffle technique,DEX
Work on the chess piece handling,DEX
Work on the climbing footwork,DEX
Work on the clutch control,DEX
Work on the coffee tamping,DEX
Work on the comic panel layout,DEX
Work on the cover drive,DEX
Work on the cross stitch pattern,DEX
Work on the crow pose form,DEX
Work on the cycling balance,DEX
Work on the dart throwing aim,DEX
Work on the double bass pedal,DEX
Work on the double bass pizzicato,DEX
Work on the double under timing,DEX
Work on the dough kneading,DEX
Work on the drone flying control,DEX
Work on the eyeliner steadiness,DEX
Work on the face painting,DEX
Work on the focus pulling,DEX
Work on the garba steps,DEX
Work on the ghatam technique,DEX
Work on the glazing technique,DEX
Work on the golf swing,DEX
Work on the grafting technique,DEX
Work on the hemming technique,DEX
Work on the injection technique,DEX
Work on the jewellery wire wrapping,DEX
Work on the lab glassware handling,DEX
Work on the laptop disassembly,DEX
Work on the memory palace technique,DEX
Work on the perspective drawing,DEX
Work on the photoshop masking,DEX
Work on the piping bag technique,DEX
Work on the portrait proportions,DEX
Work on the quilling technique,DEX
Work on the sanding technique,DEX
Work on the saxophone embouchure,DEX
Work on the sculpting detail,DEX
Work on the shehnai breath technique,DEX
Work on the shorthand writing,DEX
Work on the slingshot aim,DEX
Work on the snowboard carving,DEX
Work on the spanner handling,DEX
Work on the spike timing,DEX
Work on the spin bowling grip,DEX
Work on the sushi rolling,DEX
Work on the sword form slowly,DEX
Work on the terrarium building,DEX
Work on the throat singing technique,DEX
Work on the tile laying,DEX
Work on the transition editing,DEX
Work on the ukulele strumming pattern,DEX
Work on the voice over timing,DEX
Work on the warli art strokes,DEX
Work on the wiring neatness,DEX
Work on writing neatly,DEX
Call mom in the evening,CHA
Video call with dadi today,CHA
Call papa about house work,CHA
Message cousin about weekend plan,CHA
Call nani and ask her health,CHA
Talk to bhai about exam result,CHA
Ring uncle and thank him,CHA
Call didi about her new job,CHA
Wish chachu happy anniversary today,CHA
Reply to family group chat,CHA
Send photos to family whatsapp group,CHA
Call mom for tommorow plan,CHA
Ask mummy what to bring,CHA
Sit with grandfather and listen,CHA
Plan dinner outing with parents,CHA
Call relatives for diwali wishes,CHA
Wish cousin happy birthdya on call,CHA
Send rakhi wishes to sister,CHA
Invite cousins for house warming,CHA
Talk to parents about job decision,CHA
Call best friend after long time,CHA
Meet frends at cafe evening,CHA
Reply to friend pending msg,CHA
Plan trip call with college group,CHA
Check WA msg from school friends,CHA
Ask friend to join gym,CHA
Catch up call with hostel roommate,CHA
Send birthday wish to childhood friend,CHA
Meet old school friends saturday,CHA
Call friend going through bad phase,CHA
Congratulate friend on new job,CHA
Reply in the trip planning group,CHA
Host movie night at my place,CHA
Invite friends for dinner friday,CHA
Call friend and sort out misunderstanding,CHA
Share good news with close friends,CHA
Text friend about cricket match plan,CHA
Evening walk with neighbour uncle,CHA
Say hi to new neighbour family,CHA
Help neighbour aunty with online form,CHA
Connect with seniors on linked in,CHA
Send connection request to hiring manager,CHA
Reply to linkedin msg from recruiter,CHA
Ask mentor sir for endorsement,CHA
Message alumni working at product company,CHA
Comment on senior linkedin post,CHA
Share my project post on linkedin,CHA
Write linkedin message to team lead,CHA
Follow up with recruiter next week,CHA
Clear all pending linkedin messages tonight,CHA
Ask referral from friend at service company,CHA
Check senior referral status today,CHA
Request referral from my batchmate,CHA
Thank senior for the referal,CHA
Ask ex colleague for referral link,CHA
Message mentor sir about opening in his team,CHA
Ask HR about interview feedback,CHA
Follow up with HR on offer letter,CHA
Call HR and ask joining date,CHA
Negotiate salary with HR on call,CHA
Attend HR round tomorrow morning,CHA
Give mock interview with friend,CHA
Take mock interview of junior,CHA
Practice self intro for interview,CHA
Call interviewer to reschedule slot,CHA
Send thank you mail after interview,CHA
Introduce myself in group discussion round,CHA
Attend walk in drive with friend,CHA
Talk to placement coordinater about drive,CHA
Ask professor sir for recommendation letter,CHA
Contact professor sir about project,CHA
Meet guide ma'am for review,CHA
Ask ma'am doubt after class,CHA
Present project in front of panel,CHA
Explain my idea to review committee,CHA
Talk to HOD sir about certificate,CHA
Meet class teacher about attendance issue,CHA
Give seminar presentation on monday,CHA
Speak in college fest opening,CHA
Host quiz event for juniors,CHA
Slack call with team about release,CHA
Attend daily standup on time,CHA
Take 1:1 with manager this week,CHA
Discuss with manger about leave,CHA
Give demo to client tomorrow,CHA
Present sprint update to team,CHA
Reply to team lead on slack,CHA
Check slack msg from my manager,CHA
Pair program with teammate evening,CHA
Explain the bug fix to reviewer,CHA
Give feedback to junior politely,CHA
Onboard new joinee in team,CHA
Help intern with his first task,CHA
Ask teammate to review my PR,CHA
Thank teammate for helping with deploy,CHA
Say sorry for missing the call,CHA
Talk to manager about work load,CHA
Ask manager for project change,CHA
Discuss appraisal with reporting manager,CHA
Call client and explain the delay,CHA
Join community call in evening,CHA
Speak in the town hall meeting,CHA
Share my learning in team meeting,CHA
Attend meetup of android developers,CHA
Talk to people at tech meetup,CHA
Volunteer at blood donation camp,CHA
Help at temple event with uncles,CHA
Join society cleaning drive sunday,CHA
Talk to society secretary about parking,CHA
Attend society meeting on sunday morning,CHA
Teach python basics to my cousin,CHA
Guide junior about resume writing,CHA
Mentor a fresher on his project,CHA
Explain dsa doubt to classmate,CHA
Take doubt session for juniors,CHA
Help sister with her school project,CHA
Teach mummy how to use upi,CHA
Show papa how to video call,CHA
Give career advice to my cousin,CHA
Answer questions of the new intern,CHA
Plan date night this weekend,CHA
Call her before she sleeps,CHA
Book table for dinner date,CHA
Say sorry for yesterday fight,CHA
Plan surprise for her birthday,CHA
Talk about future plan with her,CHA
Meet her parents this sunday,CHA
Send good morning msg daily,CHA
Plan long drive with her,CHA
Have honest talk about our plans,CHA
Send diwali wishes to all contacts,CHA
Wish holi to office team,CHA
Wish teachers on teachers day,CHA
Send new year wish to mentor sir,CHA
Wish boss on his birthday,CHA
Send eid wishes to college friends,CHA
Call relatives on ganesh chaturthi,CHA
Distribute sweets to the neighbours,CHA
Wish friend on his engagement,CHA
Wish cousin for her exam result,CHA
Reply to wedding invitation from cousin,CHA
Attend friend wedding next month,CHA
Help cousin with wedding shoping,CHA
Confirm my attendance for reception,CHA
Give small speech at friend sangeet,CHA
Book cab for relatives coming tomorrow,CHA
Receive relatives at railway station,CHA
Arrange stay for guests coming home,CHA
Host lunch for relatives on sunday,CHA
Take family photos at the function,CHA
Clear all pending WA msg today,CHA
Reply to the mails from seniors,CHA
Send email to senior about role,CHA
Reply to insta dm from batchmate,CHA
Answer the missed call from uncle,CHA
Call back the person who mesaged yesterday,CHA
Reply to the group about plan,CHA
Send update msg to my team,CHA
Text the cab driver about pickup,CHA
Reply to the mentor mail properly,CHA
Practice my talk in front of mirror,CHA
Give lightning talk at local meetup,CHA
Speak at the college tech fest,CHA
Host online session for juniors,CHA
Anchor the event on annual day,CHA
Record intro video for my app,CHA
Present my app idea to the club,CHA
Pitch my project to the judges,CHA
Thank the organisers on stage,CHA
Do live demo in front of audience,CHA
Cold mail the startup founder,CHA
Ask ex manager for recommendation,CHA
Reply to freelance client query,CHA
Call client for requirement discussion,CHA
Negotiate price with freelance client,CHA
Follow up with client on payment,CHA
Take feedback call with app users,CHA
Reply to play store user review,CHA
Thank the user who reported bug,CHA
Message the open source maintainer about my PR,CHA
Meet mentor sir for coffee,CHA
Take advice call with industry senior,CHA
Ask senior about switching company,CHA
Discuss my roadmap with mentor,CHA
Share progress with accountability partner,CHA
Check in with study group memebers,CHA
Reply on the discord server,CHA
Answer doubt asked in telegram group,CHA
Join whatsapp group of the batch,CHA
Introduce myself in the new community,CHA
Call my mother in the evening and ask about her doctor visit,CHA
Send a proper thank you message to the senior who gave me referral,CHA
Sit with papa tonight and talk about money for the new course,CHA
Message three seniors on linkedin and ask about their interview experience,CHA
Ask my friend to introduce me to his manager for the open role,CHA
Prepare my self introduction and practice it with a friend before HR round,CHA
Write a short thank you mail to the professor who wrote my recommendation,CHA
Call the hostel warden and explain why I need the room for extra days,CHA
Plan a small get together with college friends before everyone shifts city,CHA
Tell my manager honestly that the deadline is not possible for me,CHA
Reply to the wedding group and confirm how many people are coming from our side,CHA
Take out time this weekend and visit my grandparents at the village,CHA
Ask the team lead for a quick call to clear my doubts,CHA
Apologise to my friend for forgetting his birthday last week,CHA
Speak to professor sir after class and ask about the research opening,CHA
Call the recruiter back and ask what the salary range is,CHA
Help my juniors with their resume and review it line by line,CHA
Discuss with my parents about moving to another city for the new job,CHA
Message the alumni group and ask if anyone is hiring android developers,CHA
Talk to my roommate about splitting the electricity bill properly,CHA
Meet the college seniors at the alumni event and collect their contacts,CHA
Call my cousin who just shifted abroad and check how he is settling,CHA
Give a short intro about my app when I meet the club members,CHA
Ask my friend to come with me for the offline interview tomorrow,CHA
Send follow up mail to the intervewer since there is no reply,CHA
Sit with my sister and help her prepare for her viva questions,CHA
Reply to every congratulation message on my new job post,CHA
Ask my mentor sir if he can take a mock interview this weekend,CHA
Call the insurance agent uncle and ask about the policy for parents,CHA
Say thank you to the security uncle who kept my parcel safe,CHA
Ping senior for quick call,CHA
Ask friend for honest feedback,CHA
Share my resume with senior,CHA
Wish team on project completetion,CHA
Reply to manager mail today,CHA
Call papa on the way home,CHA
Meet friend for evening tea,CHA
Talk to mummy about the function,CHA
Message HR for interview slot,CHA
Attend the online alumni session,CHA
Introduce two friends to each other,CHA
Take permission from parents for trip,CHA
Convince papa about the new laptop,CHA
Ask boss for work from home,CHA
Tell team about my leave plan,CHA
Thank the reviewer for his comments,CHA
Reply politely to the rude comment,CHA
Handle the angry client call calmly,CHA
Explain the dealy to my manager,CHA
Give status update to the client,CHA
Discuss the design with designer,CHA
Ask tester to verify my fix,CHA
Sync with backend team on api,CHA
Call the vendor about delivery,CHA
Talk to bank person about loan,CHA
Ask shopkeeper for better rate,CHA
Bargain with auto driver politely,CHA
Talk to gym trainer about plan,CHA
Ask tution teacher about sister progress,CHA
Speak with coach about my practice,CHA
Call friend and plan badminton match,CHA
Invite colleague for lunch outside,CHA
Have tea break chat with teammates,CHA
Join the office fun activity,CHA
Take part in team outing,CHA
Play cricket with society boys,CHA
Call the group and fix time,CHA
Ask friends to come for my birthday,CHA
Cut cake with family at home,CHA
Thank everyone who wished me today,CHA
Update linkedin and message my network,CHA
Reply to the comment on my post,CHA
Ask doubt to speaker after webinar,CHA
Message the youtuber about his course,CHA
Email the author about his book,CHA
Write to the professor for internship,CHA
Send cold email to three startups,CHA
Ask for informational call with product manager,CHA
Reach out to designer for collaboration,CHA
Meet the startup founder at event,CHA
Call old manager and catch up,CHA
Ping ex teammate about company culture,CHA
Ask friend about his new company,CHA
Take reference check call for friend,CHA
Recommend my junior for open role,CHA
Refer my friend in my company,CHA
Share job opening with my batch,CHA
Help friend prepare for his interview,CHA
Review the resume of my classmate,CHA
Give honest feedback on friend portfolio,CHA
Call mummy daily even if busy,CHA
Fix a call with papa,CHA
Visit bua house this weekend,CHA
Take sweets for the office team,CHA
Say good morning to guard uncle,CHA
Call my school teacher and thank her,CHA
Message my first manager on his birthday,CHA
Ask senior how he cracked the switch,CHA
Meet batchmate who came to my city,CHA
Host my friend staying for two days,CHA
Reply to pending mails from college juniors asking about placement preparation,CHA
Call professor sir and ask if he is free for short discussion,CHA
Explain to my parents why I want to work in a startup,CHA
Sit with my friend and listen to his problem without giving advice,CHA
Tell my team in standup that I need help on this ticket,CHA
Ask the senior developer to walk me through the legacy code,CHA
Send a msg to the group and thank everyone for the gift,CHA
Talk to my cousin about her marriage date on call,CHA
Call the travel agent uncle and book tickets for family,CHA
Wish all my colleagues on the last working day,CHA
Add flax seeds to curd,VIT
Add protein to each meal,VIT
Add salad to every meal,VIT
Adjust slowly after travel,VIT
Adjust the chair height properly,VIT
Apply oil to hair weekly,VIT
Apply the ointment twice daily,VIT
Apply the pain balm on back,VIT
Avoid coffee on empty stomach,VIT
Avoid eating at the desk,VIT
Avoid going out in peak sun,VIT
Avoid heavy dinner at night,VIT
Avoid outside food this week,VIT
Avoid the dust exposure,VIT
Avoid the food that causes acidity,VIT
Avoid the heavy food before sleep,VIT
Avoid the high sodium items,VIT
Avoid the junk food this week,VIT
Avoid the maida based food,VIT
Avoid the outdoor in high aqi,VIT
Avoid the packaged food,VIT
Avoid the sweets at function,VIT
Avoid the very spicy food,VIT
Balance the heavy meal next day,VIT
Boil the water before drinking,VIT
Book the dentist appointment,VIT
Book the doctor appointment,VIT
Break the fast properly,VIT
Brush teeth twice daily,VIT
Buy the seasonal fruits,VIT
Buy vegetables for the week,VIT
Carry lunch from home,VIT
Carry medicine while travelling,VIT
Carry water when going out,VIT
Change the air filter,VIT
Change the bedsheet this week,VIT
Change the old lens power,VIT
Change the ro filter,VIT
Change the toothbrush this month,VIT
Check if i slept enough,VIT
Check the air quality today,VIT
Check the blood pressure today,VIT
Check the food expiry dates,VIT
Check the health insurance card,VIT
Check the medicine expiry date,VIT
Check the sudden weight loss,VIT
Check the sugar content,VIT
Check the vaccination schedule,VIT
Check the water quality,VIT
Check the weight monthly,VIT
Check why sleep is disturbed,VIT
Chew the food properly,VIT
Clean the ac filter,VIT
Clean the room for dust allergy,VIT
Collect the test reports,VIT
Complete the antibiotic course fully,VIT
Control the portion at wedding,VIT
Cook dal and rice tonight,VIT
Cook with less spice today,VIT
Cool down properly after heat,VIT
Cover the ears in cold,VIT
Cut caffeine after 6 pm,VIT
Cut down on the sweets,VIT
Cut down the alcohol intake,VIT
Cut down the sugar in tea,VIT
Cut vegetables in advance,VIT
Detox with simple food,VIT
Do gentle stretching in morning,VIT
Do not disturb the body clock,VIT
Do not drink water while eating,VIT
Do not eat after 9 pm,VIT
Do not eat the leftover food,VIT
Do not eat while watching phone,VIT
Do not go office with fever,VIT
Do not have the evening cigarette,VIT
Do not ignore the back pain,VIT
Do not overeat after fasting,VIT
Do not overeat at the function,VIT
Do not sit for 3 hours straight,VIT
Do not skip lunch for work,VIT
Do not skip the breakfast,VIT
Do not skip the medicine,VIT
Do not skip the rest day,VIT
Do not sleep late again,VIT
Do pranayama in the morning,VIT
Do the blood test this week,VIT
Do the breathing exercise for lungs,VIT
Do the desk stretches today,VIT
Do the eye checkup this month,VIT
Do the physio exercises daily,VIT
Do the shoulder rolls hourly,VIT
Do the vitamin d test,VIT
Drink 3 litres water today,VIT
Drink buttermilk after lunch,VIT
Drink jeera water morning,VIT
Drink less at the party,VIT
Drink more water in office,VIT
Drink ors for dehydration,VIT
Drink the wheatgrass shot,VIT
Drink water before the meal,VIT
Drink water first thing morning,VIT
Drink water for clear skin,VIT
Eat 2 fruits every day,VIT
Eat 2 meals minimum today,VIT
Eat at fixed times daily,VIT
Eat balanced during festival,VIT
Eat breakfast before 9 am,VIT
Eat curd for the stomach,VIT
Eat curd with lunch,VIT
Eat dry fruits as snack,VIT
Eat home cooked food today,VIT
Eat jaggery instead of sugar,VIT
Eat more leafy vegetables,VIT
Eat paneer for protein,VIT
Eat slowly and chew properly,VIT
Eat the boiled egg whites,VIT
Eat till 80 percent full,VIT
Fill the cavity before it worsens,VIT
Finish dinner before 8 pm,VIT
Finish the iron tablet course,VIT
Fix the posture while sitting,VIT
Fix the sleep schedule this week,VIT
Floss the teeth at night,VIT
Foam roll the sore legs,VIT
Follow the 20 20 20 rule,VIT
Follow the night skincare routine,VIT
Follow the physiotherapy routine,VIT
Gargle with salt water,VIT
Get 8 hours of sleep,VIT
Get fresh air in the morning,VIT
Get morning sunlight daily,VIT
Get the annual health checkup done,VIT
Get the hearing checked,VIT
Get the lipid profile checked,VIT
Get the mole checked by doctor,VIT
Get the new spectacles made,VIT
Get the organic vegetables,VIT
Get the persistent cough checked,VIT
Get the sugar level checked,VIT
Get the teeth cleaning done,VIT
Get the tetanus shot updated,VIT
Get the thyroid test done,VIT
Get the wisdom tooth checked,VIT
Give rest to the stomach,VIT
Go for a walk in fresh air,VIT
Go for the general checkup,VIT
Go for the physio session,VIT
Have a banana before workout,VIT
Have a light day today,VIT
Have almonds soaked overnight,VIT
Have coconut water in afternoon,VIT
Have dinner with family,VIT
Have eggs in the morning,VIT
Have lemon water in morning,VIT
Have light food when unwell,VIT
Have omega 3 capsule,VIT
Have proper breakfast daily,VIT
Have soup for dinner,VIT
Have sprouts in the morning,VIT
Have the amla juice morning,VIT
Have the chia seeds soaked,VIT
Have the electrolyte drink,VIT
Have the healthy option available,VIT
Have the kadha for cold,VIT
Have the methi water,VIT
Have the protein shake post meal,VIT
Have the ragi porridge morning,VIT
Have warm milk before bed,VIT
Have water between drinks,VIT
Hydrate well during travel,VIT
Ice the swollen ankle,VIT
Include dal in daily meals,VIT
Include green vegetables daily,VIT
Include millets in the diet,VIT
Keep a food diary today,VIT
Keep dinner light and early,VIT
Keep emergency contact handy,VIT
Keep phone away before sleeping,VIT
Keep the fasting window,VIT
Keep the kitchen hygienic,VIT
Keep the laptop at eye level,VIT
Keep the nails trimmed,VIT
Keep the room ventilated,VIT
Keep the sleep routine on weekend,VIT
Keep the water bottle at desk,VIT
Keep warm in the winter,VIT
Listen to the body signals,VIT
Log what i ate today,VIT
Look away from screen every hour,VIT
Maintain the meal timing,VIT
Make simple khichdi for dinner,VIT
Massage the stiff shoulder,VIT
Moisturise the dry skin,VIT
Monitor the body fat percent,VIT
Monitor the energy levels,VIT
No screen one hour before bed,VIT
Note how the body feels,VIT
Note the recurring headache,VIT
Note the waist measurement,VIT
Note the water intake daily,VIT
Open the windows for some time,VIT
Pack the first aid kit,VIT
Pack tiffin for office tomorrow,VIT
Plan the healthy grocery list,VIT
Plan the weekly meal chart,VIT
Practice the deep breathing,VIT
Prep the meals for the week,VIT
Read the food label carefully,VIT
Recover from the jet lag,VIT
Recover well before next week,VIT
Reduce chai to two cups,VIT
Reduce sugar intake this month,VIT
Reduce the cigarettes this week,VIT
Reduce the cold drinks intake,VIT
Reduce the fried food intake,VIT
Reduce the pan masala,VIT
Reduce the portion size,VIT
Reduce the room light at night,VIT
Reduce the salt in cooking,VIT
Reduce the screen brightness,VIT
Refill the medicine from chemist,VIT
Reheat the food properly,VIT
Replace the salt after sweating,VIT
Rest properly instead of pushing,VIT
Rest the injured knee,VIT
Rest till the fever comes down,VIT
See the doctor if it continues,VIT
See the skin doctor for rash,VIT
Set reminder for the tablets,VIT
Show the reports to doctor,VIT
Sit in the sun for 15 min,VIT
Skip the drinks this weekend,VIT
Sleep 7 hrs minimum today,VIT
Sleep before 11 pm tonight,VIT
Sleep in a dark room,VIT
Slow down the eating speed,VIT
Stand up every 30 minutes,VIT
Stay away from tobacco,VIT
Step away from desk to eat,VIT
Stock healthy snacks at home,VIT
Stop drinking soft drinks daily,VIT
Stop eating samosa daily,VIT
Stop late night snacking,VIT
Stop ordering food online daily,VIT
Stop smoking from today,VIT
Stop the fourth coffee today,VIT
Stop the gutkha habit,VIT
Stop the late night scrolling,VIT
Store the food correctly,VIT
Stretch the hamstrings before bed,VIT
Stretch the neck at desk,VIT
Switch to green tea evening,VIT
Switch to the healthier oil,VIT
Take a full day rest,VIT
Take a proper lunch break,VIT
Take a short nap after lunch,VIT
Take a short walk post meal,VIT
Take a walking break at work,VIT
Take bath before going out,VIT
Take breaks from the screen,VIT
Take calcium with dinner,VIT
Take medicine after food only,VIT
Take rest when body says,VIT
Take sick leave and recover,VIT
Take steam for the blocked nose,VIT
Take the afternoon rest today,VIT
Take the allergy medicine,VIT
Take the antacid if needed,VIT
Take the ayurvedic medicine on time,VIT
Take the b12 supplement daily,VIT
Take the flu vaccine,VIT
Take the multivitamin in morning,VIT
Take the probiotic supplement,VIT
Take the vitamin d tablet,VIT
Throw away the junk in fridge,VIT
Track the calories roughly,VIT
Track the migraine triggers,VIT
Track the sleep hours tonight,VIT
Track the weight this week,VIT
Try intermittent fasting today,VIT
Try the anulom vilom today,VIT
Try the turmeric milk night,VIT
Use ghee in moderation,VIT
Use less oil while cooking,VIT
Use sunscreen before going out,VIT
Use the back support cushion,VIT
Use the eye drops daily,VIT
Use the hot water bag,VIT
Use the humidifier at night,VIT
Use the mouthwash regularly,VIT
Use the water purifier,VIT
Wait before lying after food,VIT
Wake up at same time daily,VIT
Walk 100 steps after dinner,VIT
Wash hands before eating,VIT
Wash the hair twice a week,VIT
Wash the pillow cover,VIT
Wash the vegetables properly,VIT
Wear cotton clothes in summer,VIT
Wear the mask in pollution,VIT
